FinanceKey,DateKey,OrganizationKey,DepartmentGroupKey,ScenarioKey,AccountKey,Amount,Date
381,20101229,5,6,1,53,-561.0,2010-12-29 00:00:00.000
382,20101229,5,6,1,56,21575.0,2010-12-29 00:00:00.000
383,20101229,5,6,2,56,22700.0,2010-12-29 00:00:00.000
384,20101229,5,6,2,57,500.0,2010-12-29 00:00:00.000
385,20101229,5,6,1,57,467.0,2010-12-29 00:00:00.000
386,20101229,5,6,1,60,25480.0,2010-12-29 00:00:00.000
387,20101229,5,6,2,60,26400.0,2010-12-29 00:00:00.000
388,20101229,5,6,2,61,2600.0,2010-12-29 00:00:00.000
389,20101229,5,6,1,61,2038.0,2010-12-29 00:00:00.000
390,20101229,5,6,1,62,2293.0,2010-12-29 00:00:00.000
391,20101229,5,6,2,62,1800.0,2010-12-29 00:00:00.000
392,20101229,5,6,2,63,8700.0,2010-12-29 00:00:00.000
393,20101229,5,6,1,63,2244.0,2010-12-29 00:00:00.000
394,20101229,5,6,1,65,553.0,2010-12-29 00:00:00.000
395,20101229,5,6,2,65,380.0,2010-12-29 00:00:00.000
396,20101229,5,6,2,66,380.0,2010-12-29 00:00:00.000
397,20101229,5,6,1,66,503.0,2010-12-29 00:00:00.000
398,20101229,5,6,1,67,252.0,2010-12-29 00:00:00.000
399,20101229,5,6,2,67,200.0,2010-12-29 00:00:00.000
400,20101229,5,6,2,68,200.0,2010-12-29 00:00:00.000
401,20101229,5,6,1,68,189.0,2010-12-29 00:00:00.000
402,20101229,5,6,1,69,55.0,2010-12-29 00:00:00.000
403,20101229,5,6,1,71,49.0,2010-12-29 00:00:00.000
404,20101229,5,6,2,71,70.0,2010-12-29 00:00:00.000
405,20101229,5,6,2,72,280.0,2010-12-29 00:00:00.000
406,20101229,5,6,1,72,168.0,2010-12-29 00:00:00.000
407,20101229,5,6,1,73,336.0,2010-12-29 00:00:00.000
408,20101229,5,6,2,73,300.0,2010-12-29 00:00:00.000
409,20101229,5,6,2,74,200.0,2010-12-29 00:00:00.000
410,20101229,5,6,1,74,248.0,2010-12-29 00:00:00.000
411,20101229,5,6,1,76,846.0,2010-12-29 00:00:00.000
412,20101229,5,6,2,76,1700.0,2010-12-29 00:00:00.000
413,20101229,5,6,2,77,550.0,2010-12-29 00:00:00.000
414,20101229,5,6,1,77,667.0,2010-12-29 00:00:00.000
415,20101229,5,6,1,78,178.0,2010-12-29 00:00:00.000
416,20101229,5,6,2,78,200.0,2010-12-29 00:00:00.000
